episode,timestep,reward
5150,1272000,394.6401
5158,1274000,455.4905
5167,1276000,413.3168
5176,1278000,454.6068
5184,1280000,331.3198
5193,1282000,452.6006
5202,1284000,343.2596
5210,1286000,415.2282
5218,1288000,414.2382
5226,1290000,425.3888
5235,1292000,425.1077
5243,1294000,445.8984
5252,1296000,366.9765
5261,1298000,360.2294
5270,1300000,402.3316
5279,1302000,453.1332
5288,1304000,385.7198
5297,1306000,438.085
5306,1308000,366.3471
5314,1310000,387.0607
5323,1312000,451.0848
5332,1314000,349.0478
5341,1316000,432.149
5349,1318000,437.7183
5357,1320000,388.2879
5366,1322000,434.3705
5375,1324000,446.8948
5383,1326000,365.8849
5391,1328000,397.8088
5401,1330000,404.6816
5410,1332000,422.3313
5419,1334000,439.3202
5428,1336000,381.4605
5436,1338000,387.431
5445,1340000,368.3364
5455,1342000,411.9069
5464,1344000,371.3585
5472,1346000,448.5635
5481,1348000,448.613
5490,1350000,396.9895
5499,1352000,462.165
